Temperatura A,Temperatura B, Diferencia,Voltaje
39.14,20.25,18.89,0.10
39.74,21.55,18.19,0.11
39.94,22.82,17.12,0.11
39.74,21.55,18.19,0.11
39.54,21.55,17.99,0.12
39.14,21.55,17.59,0.11
39.34,22.82,16.52,0.11
39.74,24.07,15.67,0.11
39.14,21.55,17.59,0.11
39.54,20.25,19.29,0.11
39.34,22.82,16.52,0.11
39.34,21.55,17.79,0.11
39.14,24.07,15.07,0.10
39.34,22.82,16.52,0.10
39.34,20.25,19.09,0.11
39.34,20.25,19.09,0.11
39.34,22.82,16.52,0.10
39.34,20.25,19.09,0.11
39.34,24.07,15.27,0.10
38.94,20.25,18.69,0.11
39.14,21.55,17.59,0.11
39.14,21.55,17.59,0.11
39.34,22.82,16.52,0.11
38.94,21.55,17.39,0.11
38.94,22.82,16.12,0.10
39.14,22.82,16.32,0.11
39.14,21.55,17.59,0.11
38.94,20.25,18.69,0.10
38.94,21.55,17.39,0.11
38.74,21.55,17.19,0.11
38.74,24.07,14.67,0.11
38.94,21.55,17.39,0.10
38.94,21.55,17.39,0.10
38.94,20.25,18.69,0.11
38.94,21.55,17.39,0.10
38.74,20.25,18.49,0.11
38.54,21.55,16.99,0.10
39.14,22.82,16.32,0.11
38.94,21.55,17.39,0.11
38.74,21.55,17.19,0.11
38.54,21.55,16.99,0.11
38.54,20.25,18.29,0.10
38.74,20.25,18.49,0.11
38.54,21.55,16.99,0.11
38.54,21.55,16.99,0.11
38.54,21.55,16.99,0.10
38.74,20.25,18.49,0.10
38.34,22.82,15.52,0.11
38.54,20.25,18.29,0.11
38.34,21.55,16.79,0.10
38.34,20.25,18.09,0.10
38.74,20.25,18.49,0.10
38.13,20.25,17.88,0.10
38.34,22.82,15.52,0.10
38.54,21.55,16.99,0.10
38.54,20.25,18.29,0.10
38.13,22.82,15.31,0.10
38.34,20.25,18.09,0.10
38.13,24.07,14.06,0.10
37.93,21.55,16.38,0.11
38.13,21.55,16.58,0.11
38.13,21.55,16.58,0.10
38.13,20.25,17.88,0.10
38.13,21.55,16.58,0.10
38.34,21.55,16.79,0.10
38.34,21.55,16.79,0.10
37.93,21.55,16.38,0.10
38.13,21.55,16.58,0.10
38.13,20.25,17.88,0.11
37.93,21.55,16.38,0.10
37.93,21.55,16.38,0.11
38.13,21.55,16.58,0.11
38.34,20.25,18.09,0.10
38.13,22.82,15.31,0.10
38.13,22.82,15.31,0.11
37.93,22.82,15.11,0.10
37.93,20.25,17.68,0.10
38.13,22.82,15.31,0.10
37.73,21.55,16.18,0.10
37.73,21.55,16.18,0.10
37.53,21.55,15.98,0.10
38.13,20.25,17.88,0.10
37.73,22.82,14.91,0.11
37.73,21.55,16.18,0.10
37.53,20.25,17.28,0.11
37.93,21.55,16.38,0.10
37.53,20.25,17.28,0.10
37.73,20.25,17.48,0.10
37.73,20.25,17.48,0.10
37.73,22.82,14.91,0.10
37.73,20.25,17.48,0.10
37.73,18.92,18.81,0.10
37.53,24.07,13.46,0.11
37.53,20.25,17.28,0.10
37.73,22.82,14.91,0.10
37.53,18.92,18.61,0.11
37.53,21.55,15.98,0.10
37.53,20.25,17.28,0.10
37.32,21.55,15.77,0.11
37.32,21.55,15.77,0.11
37.53,24.07,13.46,0.10
37.53,21.55,15.98,0.10
37.53,20.25,17.28,0.11
37.53,22.82,14.71,0.11
37.53,21.55,15.98,0.11
36.92,21.55,15.37,0.10
37.73,24.07,13.66,0.10
37.53,20.25,17.28,0.10
37.12,20.25,16.87,0.10
37.53,20.25,17.28,0.10
37.12,20.25,16.87,0.11
37.12,21.55,15.57,0.11
37.32,22.82,14.5,0.09
37.12,20.25,16.87,0.10
37.12,20.25,16.87,0.10
37.32,20.25,17.07,0.10
37.12,21.55,15.57,0.10
36.71,20.25,16.46,0.10
37.12,22.82,14.3,0.10
37.12,22.82,14.3,0.10
