Temperatura A,Temperatura B, Diferencia,Voltaje
58.37,27.66,30.71,0.19
58.18,26.49,31.69,0.20
58.27,26.49,31.78,0.20
58.27,27.66,30.61,0.20
58.18,26.49,31.69,0.20
58.09,26.49,31.6,0.19
58.18,26.49,31.69,0.20
57.99,25.29,32.7,0.20
58.09,26.49,31.6,0.20
58.18,27.66,30.52,0.19
58.09,27.66,30.43,0.20
58.09,27.66,30.43,0.19
58.09,27.66,30.43,0.20
58.18,27.66,30.52,0.20
58.09,28.81,29.28,0.20
57.99,28.81,29.18,0.19
57.99,27.66,30.33,0.20
57.89,26.49,31.4,0.19
57.89,27.66,30.23,0.19
57.79,26.49,31.3,0.20
57.89,28.81,29.08,0.20
57.99,28.81,29.18,0.20
57.79,28.81,28.98,0.19
57.89,27.66,30.23,0.19
57.89,27.66,30.23,0.19
57.79,27.66,30.13,0.19
57.79,26.49,31.3,0.19
57.59,27.66,29.93,0.20
57.79,26.49,31.3,0.19
57.59,26.49,31.1,0.19
57.69,27.66,30.03,0.18
57.69,26.49,31.2,0.19
57.69,28.81,28.88,0.18
57.59,27.66,29.93,0.18
57.59,27.66,29.93,0.18
57.59,27.66,29.93,0.19
57.49,26.49,31.0,0.18
57.49,27.66,29.83,0.19
57.49,28.81,28.68,0.19
57.49,27.66,29.83,0.19
57.38,26.49,30.89,0.19
57.28,26.49,30.79,0.18
57.49,26.49,31.0,0.19
57.38,27.66,29.72,0.18
57.38,27.66,29.72,0.19
57.28,26.49,30.79,0.18
57.38,28.81,28.57,0.18
57.28,27.66,29.62,0.19
57.28,28.81,28.47,0.19
57.28,28.81,28.47,0.19
57.07,27.66,29.41,0.19
57.17,26.49,30.68,0.18
57.17,27.66,29.51,0.19
57.17,26.49,30.68,0.18
57.07,27.66,29.41,0.18
57.07,27.66,29.41,0.19
56.96,26.49,30.47,0.18
57.07,27.66,29.41,0.18
57.07,28.81,28.26,0.18
56.96,26.49,30.47,0.18
56.96,26.49,30.47,0.18
56.85,27.66,29.19,0.18
56.85,26.49,30.36,0.18
56.96,28.81,28.15,0.18
56.85,28.81,28.04,0.18
56.73,27.66,29.07,0.18
56.62,25.29,31.33,0.18
56.73,27.66,29.07,0.17
56.85,27.66,29.19,0.18
56.62,26.49,30.13,0.18
56.73,28.81,27.92,0.18
56.73,27.66,29.07,0.18
56.62,28.81,27.81,0.18
56.73,25.29,31.44,0.18
56.51,26.49,30.02,0.17
56.51,28.81,27.7,0.17
56.62,27.66,28.96,0.18
56.28,27.66,28.62,0.18
56.51,26.49,30.02,0.17
56.51,27.66,28.85,0.17
56.51,27.66,28.85,0.17
56.51,28.81,27.7,0.18
56.39,27.66,28.73,0.18
56.28,26.49,29.79,0.18
56.16,26.49,29.67,0.18
56.39,27.66,28.73,0.18
56.16,26.49,29.67,0.18
56.28,26.49,29.79,0.17
